"event_id", "prog_id", "layer_id", "output_id", "sidx", "loss"
26, 1, 1, 1, 0, 0.000000
26, 1, 1, 1, 1, 32388.759766
26, 1, 1, 1, 2, 286.662903
26, 1, 1, 1, 3, 0.000000
26, 1, 1, 1, 4, 0.000000
26, 1, 1, 1, 5, 2415.206299
26, 1, 1, 1, 6, 194.405579
26, 1, 1, 1, 7, 0.000000
26, 1, 1, 1, 8, 0.000000
26, 1, 1, 1, 9, 0.000000
26, 1, 1, 1, 10, 2478.993652
26, 1, 1, 1, 11, 3451.043701
26, 1, 1, 1, 12, 1047.142456
26, 1, 1, 1, 13, 0.000000
26, 1, 1, 1, 14, 4134.574219
26, 1, 1, 1, 15, 0.000000
26, 1, 1, 1, 16, 0.000000
26, 1, 1, 1, 17, 0.000000
26, 1, 1, 1, 18, 0.000000
26, 1, 1, 1, 19, 0.000000
26, 1, 1, 1, 20, 0.000000
26, 1, 1, 1, 21, 905.202271
26, 1, 1, 1, 22, 0.000000
26, 1, 1, 1, 23, 0.000000
26, 1, 1, 1, 24, 0.000000
26, 1, 1, 1, 25, 1650.910278
26, 1, 1, 1, 26, 0.000000
26, 1, 1, 1, 27, 381.919067
26, 1, 1, 1, 28, 1418.043213
26, 1, 1, 1, 29, 0.000000
26, 1, 1, 1, 30, 4488.994629
26, 1, 1, 1, 31, 2884.743896
26, 1, 1, 1, 32, 0.000000
26, 1, 1, 1, 33, 0.000000
26, 1, 1, 1, 34, 0.000000
26, 1, 1, 1, 35, 0.000000
26, 1, 1, 1, 36, 0.000000
26, 1, 1, 1, 37, 0.000000
26, 1, 1, 1, 38, 0.000000
26, 1, 1, 1, 39, 0.000000
26, 1, 1, 1, 40, 0.000000
26, 1, 1, 1, 41, 3384.716064
26, 1, 1, 1, 42, 17389.222656
26, 1, 1, 1, 43, 0.000000
26, 1, 1, 1, 44, 533.296326
26, 1, 1, 1, 45, 2870.936279
26, 1, 1, 1, 46, 1304.267578
26, 1, 1, 1, 47, 0.000000
26, 1, 1, 1, 48, 0.000000
26, 1, 1, 1, 49, 6828.880371
26, 1, 1, 1, 50, 0.000000
26, 1, 1, 1, 51, 5689.273926
26, 1, 1, 1, 52, 0.000000
26, 1, 1, 1, 53, 3287.948242
26, 1, 1, 1, 54, 0.000000
26, 1, 1, 1, 55, 969.990295
26, 1, 1, 1, 56, 0.000000
26, 1, 1, 1, 57, 5047.605469
26, 1, 1, 1, 58, 0.000000
26, 1, 1, 1, 59, 839.839478
26, 1, 1, 1, 60, 15362.166016
26, 1, 1, 1, 61, 2459.478516
26, 1, 1, 1, 62, 0.000000
26, 1, 1, 1, 63, 0.000000
26, 1, 1, 1, 64, 0.000000
26, 1, 1, 1, 65, 0.000000
26, 1, 1, 1, 66, 0.000000
26, 1, 1, 1, 67, 3138.336426
26, 1, 1, 1, 68, 0.000000
26, 1, 1, 1, 69, 296.172974
26, 1, 1, 1, 70, 1567.792725
26, 1, 1, 1, 71, 0.000000
